nome,fase,turma,instituicao_ensino_aluno,sinalizador_ingressante,pedra,inde,iaa,ieg,ips,ida,ipp,rec_equipe_1,rec_equipe_2,rec_equipe_3,rec_equipe_4,ponto_virada,ipv,ian,nivel_ideal,defasagem,sexo,corraca,bolsista_encoded,ponto_virada_encoded,pedra_encoded,anos_pm,fase_ideal,na_fase,diff_fase,idade,sexo_encoded,rec_equipe_1_resultado,rec_equipe_2_resultado,rec_equipe_3_resultado,rec_equipe_4_resultado,rec_equipe_1_resultado_encoded,rec_equipe_2_resultado_encoded,rec_equipe_3_resultado_encoded,rec_equipe_4_resultado_encoded,rec_sintese
ALUNO-47,1,A,Escola Pública,Ingressante,Ágata,6.056,8.5,6.3,7.5,4.0,7.5,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,5.8,5.0,Nível 2 (5o e 6o ano),-1.0,M,B,0,0,2,0.0,2.0,0,-1.0,11.0,0.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-51,1,F,Escola Pública,Ingressante,Ametista,8.051,9.0,9.2,7.5,5.4,7.7,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.6,10.0,Nível 1 (4o ano),0.0,M,R,0,0,3,2.0,1.0,1,0.0,9.0,0.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-54,3,B,Escola Pública,Ingressante,Ágata,6.388,7.5,5.8,7.5,4.1,7.3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,5.8,10.0,Nível 3 (7o e 8o ano),0.0,F,B,0,0,2,0.0,3.0,1,0.0,13.0,1.0,Neutro,Positivo,Neutro,,0.0,1.0,0.0,,0.0
ALUNO-55,7,A,Rede Decisão,Veterano,Ametista,8.219,9.6,8.9,8.1,7.6,8.1,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sim,9.2,5.0,Nível 8 (Universitários),-1.0,F,B,1,1,3,4.0,8.0,0,-1.0,18.0,1.0,Positivo,Positivo,Positivo,Positivo,1.0,1.0,1.0,1.0,1.0
ALUNO-56,6,A,Escola Pública,Ingressante,Ágata,6.777,8.8,7.5,5.6,5.5,7.8,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,7.2,5.0,Nível 7 (3o EM),-1.0,M,B,0,0,2,0.0,7.0,0,-1.0,17.0,0.0,Positivo,Positivo,Positivo,Positivo,1.0,1.0,1.0,1.0,1.0
ALUNO-57,7,A,Rede Decisão,Veterano,Ametista,7.213,8.3,6.9,6.3,6.0,7.7,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não,7.0,10.0,Nível 7 (3o EM),0.0,M,B,1,0,3,3.0,7.0,1,0.0,17.0,0.0,Neutro,Positivo,Positivo,Positivo,0.0,1.0,1.0,1.0,1.0
ALUNO-60,6,C,Rede Decisão,Veterano,Ametista,6.956,7.9,7.5,6.9,6.1,7.2,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,7.7,5.0,Nível 8 (Universitários),-2.0,M,R,1,0,3,5.0,8.0,0,-2.0,18.0,0.0,Neutro,Positivo,Positivo,Positivo,0.0,1.0,1.0,1.0,1.0
ALUNO-61,1,M,Escola Pública,Veterano,Quartzo,3.017,0.0,1.3,5.6,0.0,6.9,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Não,5.1,5.0,Nível 2 (5o e 6o ano),-1.0,F,P,0,0,1,1.0,2.0,0,-1.0,11.0,1.0,Neutro,,Neutro,,0.0,,0.0,,0.0
ALUNO-62,2,L,Escola Pública,Veterano,Ágata,5.704,8.5,4.6,7.5,3.1,8.1,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,6.2,5.0,Nível 3 (7o e 8o ano),-1.0,M,B,0,0,2,1.0,3.0,0,-1.0,13.0,0.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-65,0,R,Escola Pública,Ingressante,Topázio,8.438,10.0,10.0,7.5,6.9,8.1,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não avaliado,Não avaliado,Sim,10.0,5.0,Nível 1 (4o ano),-1.0,M,B,0,1,4,0.0,1.0,0,-1.0,9.0,0.0,Positivo,Positivo,,,1.0,1.0,,,1.0
ALUNO-66,2,E,Escola Pública,Ingressante,Ágata,6.875,8.0,6.3,7.5,5.9,8.5,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,7.7,5.0,Nível 3 (7o e 8o ano),-1.0,F,R,0,0,2,0.0,3.0,0,-1.0,13.0,1.0,Positivo,Neutro,Positivo,,1.0,0.0,1.0,,1.0
ALUNO-67,1,J,Escola Pública,Ingressante,Quartzo,4.939,7.4,3.3,7.5,1.1,8.3,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.1,5.0,Nível 2 (5o e 6o ano),-1.0,F,R,0,0,1,0.0,2.0,0,-1.0,11.0,1.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-71,0,J,Escola Pública,Veterano,Quartzo,2.4600000000000004,7.4,0.0,5.0,3.6,0.0,Não avaliado,Não avaliado,Não avaliado,Não avaliado,#NULO!,0.0,5.0,Nível 2 (5o e 6o ano),-2.0,F,P,0,1,1,2.0,2.0,0,-2.0,11.0,1.0,,,,,,,,,
ALUNO-75,4,L,Rede Decisão,Veterano,Topázio,9.108,10.0,9.2,7.5,8.5,8.8,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Sim,9.7,10.0,Nível 3 (7o e 8o ano),1.0,F,R,1,1,4,2.0,3.0,0,1.0,12.0,1.0,Positivo,Positivo,Positivo,Positivo,1.0,1.0,1.0,1.0,1.0
ALUNO-76,1,B,Escola Pública,Veterano,Topázio,8.869,10.0,10.0,7.5,7.6,7.5,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Sim,9.2,10.0,ALFA  (2o e 3o ano),1.0,F,B,0,1,4,1.0,0.0,0,1.0,8.0,1.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-77,0,J,Escola Pública,Ingressante,Ametista,7.854,9.5,10.0,7.5,6.4,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,8.1,5.0,Nível 1 (4o ano),-1.0,F,B,0,0,3,0.0,1.0,0,-1.0,9.0,1.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-78,1,B,Escola Pública,Ingressante,Ágata,6.339,8.9,9.2,7.5,2.6,7.3,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,5.6,5.0,Nível 2 (5o e 6o ano),-1.0,F,R,0,0,2,4.0,2.0,0,-1.0,11.0,1.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-81,5,L,Rede Decisão,Veterano,Ágata,6.188,6.3,5.8,2.5,6.5,8.1,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não,7.7,5.0,Nível 6 (2o EM),-1.0,F,A,1,0,2,2.0,6.0,0,-1.0,16.0,1.0,Positivo,Positivo,Positivo,Neutro,1.0,1.0,1.0,0.0,1.0
ALUNO-83,5,B,Rede Decisão,Veterano,Ágata,5.987,6.7,6.4,3.8,3.0,7.3,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,6.7,10.0,Nível 5 (1o EM),0.0,F,B,1,0,2,5.0,5.0,1,0.0,15.0,1.0,Positivo,Neutro,Positivo,Neutro,1.0,0.0,1.0,0.0,1.0
ALUNO-84,1,A,Escola Pública,Ingressante,Ametista,7.867,3.5,10.0,7.5,6.8,7.5,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.3,10.0,Nível 1 (4o ano),0.0,F,B,0,0,3,1.0,1.0,1,0.0,9.0,1.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-85,0,P,Escola Pública,Veterano,Ágata,6.652,9.5,6.7,6.3,6.9,4.7,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.0,5.0,Nível 2 (5o e 6o ano),-2.0,M,B,0,0,2,2.0,2.0,0,-2.0,10.0,0.0,Positivo,Neutro,,,1.0,0.0,,,1.0
ALUNO-87,5,L,Rede Decisão,Veterano,Ametista,8.004,7.9,7.8,7.5,7.8,8.1,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não,7.7,10.0,Nível 5 (1o EM),0.0,F,B,1,0,3,5.0,5.0,1,0.0,15.0,1.0,Positivo,Positivo,Positivo,Neutro,1.0,1.0,1.0,0.0,1.0
ALUNO-88,2,D,Rede Decisão,Veterano,Ametista,8.096,9.5,9.6,6.3,7.4,8.1,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Sim,9.1,5.0,Nível 3 (7o e 8o ano),-1.0,F,B,1,1,3,3.0,3.0,0,-1.0,12.0,1.0,Positivo,Neutro,Positivo,,1.0,0.0,1.0,,1.0
ALUNO-90,4,L,Escola Pública,Veterano,Ágata,5.994,7.1,5.0,7.5,4.6,7.2,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,7.0,5.0,Nível 5 (1o EM),-1.0,M,R,0,0,2,2.0,5.0,0,-1.0,15.0,0.0,Positivo,Neutro,Positivo,Positivo,1.0,0.0,1.0,1.0,1.0
ALUNO-91,2,H,Escola Pública,Veterano,Quartzo,4.200,9.5,0.0,7.5,2.2,5.6,Mantido na Fase atual,Não avaliado,Não avaliado,Não avaliado,Não,2.5,10.0,Nível 2 (5o e 6o ano),0.0,F,B,0,0,1,3.0,2.0,1,0.0,11.0,1.0,Neutro,,,,0.0,,,,0.0
ALUNO-93,0,L,Escola Pública,Ingressante,Ágata,6.248,8.0,4.2,7.5,5.1,6.6,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,5.9,10.0,ALFA  (2o e 3o ano),0.0,F,P,0,0,2,0.0,0.0,1,0.0,8.0,1.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-94,4,F,Escola Pública,Ingressante,Ágata,5.923,7.5,3.6,7.5,4.6,7.3,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,5.2,10.0,Nível 3 (7o e 8o ano),1.0,F,B,0,0,2,2.0,3.0,0,1.0,13.0,1.0,Neutro,Neutro,Positivo,Positivo,0.0,0.0,1.0,1.0,0.0
ALUNO-95,4,F,Escola Pública,Veterano,Quartzo,4.957,8.3,5.6,7.5,1.3,6.9,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,4.1,5.0,Nível 6 (2o EM),-2.0,F,R,0,0,1,2.0,6.0,0,-2.0,16.0,1.0,Positivo,Neutro,Positivo,,1.0,0.0,1.0,,1.0
ALUNO-97,2,D,Escola Pública,Veterano,Ágata,6.317,8.0,5.8,7.5,5.8,7.5,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,6.0,5.0,Nível 3 (7o e 8o ano),-1.0,F,R,0,0,2,3.0,3.0,0,-1.0,13.0,1.0,Positivo,Neutro,Positivo,,1.0,0.0,1.0,,1.0
ALUNO-98,3,D,Escola Pública,Ingressante,Ametista,6.953,9.2,6.4,7.5,6.3,7.5,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.5,5.0,Nível 4 (9o ano),-1.0,F,R,0,0,3,0.0,4.0,0,-1.0,14.0,1.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-100,1,M,Escola Pública,Veterano,Quartzo,3.117,8.5,0.0,3.8,0.0,6.3,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Não,3.8,5.0,Nível 3 (7o e 8o ano),-2.0,F,R,0,0,1,3.0,3.0,0,-2.0,13.0,1.0,Neutro,,Neutro,,0.0,,0.0,,0.0
ALUNO-102,1,J,Escola Pública,Veterano,Ágata,6.704,6.3,7.5,7.5,4.8,7.9,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.8,5.0,Nível 2 (5o e 6o ano),-1.0,M,R,0,0,2,1.0,2.0,0,-1.0,10.0,0.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-103,1,F,Escola Pública,Veterano,Ametista,8.076,9.5,8.8,6.3,6.2,7.9,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.6,10.0,Nível 1 (4o ano),0.0,F,B,0,0,3,1.0,1.0,1,0.0,9.0,1.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-104,0,J,Escola Pública,Ingressante,Ametista,8.010,9.0,10.0,7.5,6.4,7.2,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,6.8,10.0,ALFA  (2o e 3o ano),0.0,M,P,0,0,3,0.0,0.0,1,0.0,8.0,0.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-105,4,E,Escola Pública,Veterano,Quartzo,4.956,10.0,1.1,7.5,2.8,6.7,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,3.7,10.0,Nível 4 (9o ano),0.0,F,B,0,0,1,1.0,4.0,1,0.0,14.0,1.0,Neutro,Neutro,Positivo,,0.0,0.0,1.0,,0.0
ALUNO-106,1,N,Escola Pública,Veterano,Ametista,8.242,10.0,7.9,7.5,7.9,8.3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Sim,10.0,5.0,Nível 2 (5o e 6o ano),-1.0,F,R,0,1,3,1.0,2.0,0,-1.0,11.0,1.0,Positivo,Neutro,Positivo,,1.0,0.0,1.0,,1.0
ALUNO-109,6,A,Escola Pública,Ingressante,Ametista,7.360,7.5,6.7,7.5,7.8,8.4,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,8.2,5.0,Nível 7 (3o EM),-1.0,F,B,0,0,3,0.0,7.0,0,-1.0,17.0,1.0,Positivo,Positivo,Positivo,Positivo,1.0,1.0,1.0,1.0,1.0
ALUNO-111,4,L,Escola Pública,Veterano,Ametista,7.222,8.3,8.1,7.5,6.0,8.4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não,7.4,5.0,Nível 5 (1o EM),-1.0,F,B,0,0,3,1.0,5.0,0,-1.0,15.0,1.0,Positivo,Positivo,Positivo,Positivo,1.0,1.0,1.0,1.0,1.0
ALUNO-112,4,F,Escola Pública,Ingressante,Ágata,6.098,9.2,3.1,6.9,6.2,7.7,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,6.9,5.0,Nível 5 (1o EM),-1.0,F,B,0,0,2,3.0,5.0,0,-1.0,15.0,1.0,Positivo,Neutro,Positivo,Positivo,1.0,0.0,1.0,1.0,1.0
ALUNO-113,2,K,Escola Pública,Veterano,Ágata,6.664,9.5,7.1,7.5,4.6,8.1,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.6,5.0,Nível 3 (7o e 8o ano),-1.0,F,P,0,0,2,2.0,3.0,0,-1.0,12.0,1.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-117,2,N,Escola Pública,Veterano,Ametista,7.774,8.5,7.1,7.5,7.1,8.3,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.6,10.0,Nível 2 (5o e 6o ano),0.0,F,P,0,0,3,1.0,2.0,1,0.0,11.0,1.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-118,1,B,Escola Pública,Veterano,Topázio,8.299,8.5,9.6,7.5,6.9,7.5,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.2,10.0,Nível 1 (4o ano),0.0,F,R,0,0,4,2.0,1.0,1,0.0,9.0,1.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-120,1,A,Escola Pública,Veterano,Ametista,7.096,8.5,8.3,7.5,6.1,7.5,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.8,5.0,Nível 2 (5o e 6o ano),-1.0,F,B,0,0,3,2.0,2.0,0,-1.0,10.0,1.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-124,0,T,Escola Pública,Ingressante,Topázio,8.275,9.0,8.3,7.5,6.1,8.1,Promovido de Fase,Promovido de Fase,Não avaliado,Não avaliado,Sim,9.7,10.0,ALFA  (2o e 3o ano),0.0,M,R,0,1,4,0.0,0.0,1,0.0,8.0,0.0,Positivo,Positivo,,,1.0,1.0,,,1.0
ALUNO-125,2,P,Escola Pública,Veterano,Ágata,6.461,6.3,4.6,7.5,4.6,7.9,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,7.2,10.0,Nível 2 (5o e 6o ano),0.0,M,R,0,0,2,1.0,2.0,1,0.0,11.0,0.0,Neutro,Neutro,Positivo,,0.0,0.0,1.0,,0.0
ALUNO-126,0,P,Escola Pública,Ingressante,Ágata,6.069,9.0,4.2,7.5,4.5,7.2,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.3,5.0,Nível 1 (4o ano),-1.0,F,P,0,0,2,0.0,1.0,0,-1.0,9.0,1.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-127,1,A,Escola Pública,Ingressante,Ametista,6.907,10.0,7.1,7.5,5.6,7.5,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.9,5.0,Nível 2 (5o e 6o ano),-1.0,F,B,0,0,3,0.0,2.0,0,-1.0,11.0,1.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-128,0,I,Escola Pública,Veterano,Quartzo,5.229,7.9,6.7,4.4,4.0,2.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,5.6,5.0,Nível 2 (5o e 6o ano),-2.0,F,B,0,0,1,2.0,2.0,0,-2.0,10.0,1.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-129,2,H,Escola Pública,Ingressante,Ágata,5.819,7.4,4.2,7.5,4.6,7.2,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Não,4.3,10.0,Nível 2 (5o e 6o ano),0.0,F,P,0,0,2,0.0,2.0,1,0.0,11.0,1.0,Neutro,,Neutro,,0.0,,0.0,,0.0
ALUNO-133,1,F,Escola Pública,Veterano,Ametista,7.990,9.5,9.6,7.5,7.1,7.7,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.4,5.0,Nível 2 (5o e 6o ano),-1.0,M,R,0,0,3,2.0,2.0,0,-1.0,11.0,0.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
