nome,ida,diff_fase,ponto_virada_encoded,anos_pm,bolsista_encoded,ipv,corraca,ponto_virada,ian,pedra,pedra_encoded,iaa,ips,ieg,ipp,idade,sexo_encoded,fase,inde,sexo,na_fase,ano
ALUNO-113,7.5,-1.0,0,1.0,0,7.916665,P,Não,5.0,Ametista,3,8.500020000000001,7.5,8.8,7.5,11.0,1.0,1,7.693335000000001,F,0,2020
ALUNO-115,5.166666666666667,-1.0,0,1.0,0,5.111106666666666,R,Não,5.0,Quartzo,1,9.16668,6.875,1.9,7.916666666666667,15.0,0.0,4,5.331389333333334,M,0,2020
ALUNO-117,9.5,-1.0,0,0.0,0,7.916665,P,Não,5.0,Ametista,3,8.000020000000001,7.5,8.9,7.1875,10.0,1.0,1,8.032085,F,0,2020
ALUNO-118,10.0,0.0,0,1.0,0,7.416665,R,Não,10.0,Ametista,3,8.500020000000001,7.5,7.7,7.1875,8.0,1.0,1,8.342085,F,1,2020
ALUNO-120,9.5,-1.0,0,1.0,0,7.666665,B,Não,5.0,Ametista,3,9.000020000000001,8.125,10.0,2.5,9.0,1.0,0,7.895835000000001,F,0,2020
ALUNO-125,5.0,-1.0,0,0.0,0,7.333333333333333,R,Não,5.0,Ágata,2,9.000020000000001,7.5,9.0,7.708333333333334,10.0,0.0,1,7.187502,M,0,2020
ALUNO-128,5.5,-1.0,0,1.0,0,3.500005,B,Não,5.0,Quartzo,1,7.416679999999999,5.625,10.0,2.5,9.0,1.0,0,5.854169000000001,F,0,2020
ALUNO-132,6.0,0.0,0,3.0,0,6.95833,R,Não,10.0,Ametista,3,8.75001,7.5,6.5,8.28125,14.0,1.0,4,7.344792,F,1,2020
ALUNO-133,10.0,-2.0,0,1.0,0,7.5,R,Não,5.0,Ametista,3,10.00002,7.5,9.8,7.1875,10.0,0.0,0,8.428752,M,0,2020
ALUNO-135,6.5,0.0,0,1.0,0,7.25,B,Não,10.0,Ametista,3,9.000020000000001,7.5,8.4,7.1875,9.0,1.0,1,7.798752,F,1,2020
ALUNO-136,2.0,-1.0,0,2.0,0,5.444446666666667,R,Não,5.0,Quartzo,1,7.5,4.375,4.0,6.666666666666667,16.0,1.0,5,4.643056,F,0,2020
ALUNO-139,4.333333333333333,-2.0,0,0.0,0,5.499996666666667,R,Não,5.0,Ágata,2,9.16668,7.5,5.8,8.125,17.0,1.0,5,6.105834000000001,F,0,2020
ALUNO-145,7.333333333333333,0.0,1,1.0,1,8.8333375,R,Sim,10.0,Ametista,3,7.91667,7.5,9.1,7.5,17.0,0.0,7,8.345001166666666,M,1,2020
ALUNO-146,0.0,0.0,0,2.0,0,7.333333333333333,B,Não,10.0,Ágata,2,10.00002,7.5,7.2,7.291666666666667,9.0,1.0,1,6.385835333333334,F,1,2020
ALUNO-147,0.0,-1.0,0,1.0,0,7.277776666666666,R,Não,5.0,Quartzo,1,9.000020000000001,7.5,8.0,7.291666666666667,13.0,1.0,2,5.934724000000001,F,0,2020
ALUNO-149,3.0,0.0,0,1.0,0,8.333335,B,Não,10.0,Ágata,2,7.5,5.625,8.7,8.125,16.0,1.0,6,7.131667,F,1,2020
ALUNO-151,7.5,-1.0,0,1.0,0,8.611113333333334,B,Não,5.0,Ametista,3,9.50002,7.5,9.5,9.166666666666666,11.0,0.0,1,8.238891333333333,M,0,2020
ALUNO-152,6.333333333333333,1.0,0,1.0,1,8.6250075,B,Não,10.0,Ametista,3,6.24999,7.5,9.0,7.96875,11.0,1.0,3,7.963542166666667,F,0,2020
ALUNO-153,4.666666666666667,1.0,1,3.0,1,9.1250075,P,Sim,10.0,Ametista,3,10.00002,7.5,9.0,8.59375,13.0,0.0,4,8.167711833333334,M,0,2020
ALUNO-154,0.0,-1.0,0,1.0,0,7.916665,B,Não,5.0,Quartzo,1,8.500020000000001,7.5,7.1,7.8125,10.0,0.0,1,5.884585,M,0,2020
ALUNO-156,5.0,-1.0,0,2.0,1,8.11111,B,Não,5.0,Ágata,2,7.916679999999999,7.5,8.9,6.666666666666667,12.0,0.0,2,7.110556666666668,M,0,2020
ALUNO-157,6.75,-1.0,0,1.0,0,7.777776666666667,B,Não,5.0,Ágata,2,9.50002,7.5,6.4,7.916666666666668,10.0,0.0,1,7.177224000000001,M,0,2020
ALUNO-158,5.0,-1.0,0,2.0,0,6.611103333333333,B,Não,5.0,Quartzo,1,9.16668,3.75,5.9,7.708333333333334,14.0,1.0,3,6.064722,F,0,2020
ALUNO-160,0.0,-1.0,0,2.0,0,7.444443333333333,R,Não,5.0,Quartzo,1,8.000020000000001,5.0,2.3,7.291666666666667,10.0,1.0,1,4.478057333333334,F,0,2020
ALUNO-162,8.5,-1.0,0,2.0,0,7.75,P,Não,5.0,Ametista,3,8.500020000000001,7.5,8.8,8.4375,10.0,0.0,1,7.953752000000001,M,0,2020
ALUNO-163,6.25,-2.0,0,3.0,0,7.75,R,Não,5.0,Ágata,2,7.50002,5.0,8.2,2.5,12.0,0.0,1,6.440002,M,0,2020
ALUNO-164,7.5,-1.0,0,1.0,0,7.75,B,Não,5.0,Ametista,3,9.50002,7.5,8.7,7.1875,10.0,1.0,1,7.708752,F,0,2020
ALUNO-165,10.0,-2.0,0,1.0,0,7.5,B,Não,5.0,Ametista,3,9.000020000000001,7.5,10.0,7.8125,11.0,1.0,0,8.431252,F,0,2020
ALUNO-168,8.5,-1.0,0,1.0,0,8.11111,R,Não,5.0,Ametista,3,10.00002,7.5,8.8,7.5,11.0,1.0,1,8.082224,F,0,2020
ALUNO-169,10.0,0.0,0,0.0,0,5.749995,R,Não,10.0,Ametista,3,9.000020000000001,5.0,10.0,2.5,8.0,1.0,0,7.800001000000001,F,1,2020
ALUNO-173,2.833333333333333,-1.0,0,4.0,0,4.1250025,R,Não,5.0,Quartzo,1,7.91667,3.125,0.9,5.625,16.0,1.0,5,3.7383341666666654,F,0,2020
ALUNO-174,7.2,0.0,1,3.0,1,0.0,R,,10.0,Ametista,3,9.16668,5.625,10.0,0.0,15.0,0.0,5,7.921668,M,1,2020
ALUNO-183,10.0,-2.0,0,2.0,0,7.000005,R,Não,5.0,Ametista,3,9.000020000000001,8.125,10.0,2.5,11.0,0.0,0,7.862503,M,0,2020
ALUNO-184,7.5,0.0,0,2.0,0,7.777776666666667,R,Não,10.0,Ametista,3,10.00002,7.5,8.3,7.916666666666668,9.0,0.0,1,8.257224,M,1,2020
ALUNO-186,5.666666666666667,-3.0,0,0.0,0,6.66666,B,Não,2.5,Ágata,2,8.75001,7.5,5.8,8.125,16.0,1.0,3,6.314166333333334,F,0,2020
ALUNO-187,0.0,0.0,0,0.0,0,7.111106666666665,B,Não,10.0,Ágata,2,8.500020000000001,7.5,8.0,7.916666666666667,10.0,1.0,2,6.41389,F,1,2020
ALUNO-188,9.0,0.0,1,2.0,0,8.66667,R,Sim,10.0,Ametista,3,7.08333,7.5,4.7,8.125,13.0,1.0,3,7.744167,F,1,2020
ALUNO-189,8.0,-1.0,0,0.0,0,7.333333333333333,R,Não,5.0,Ágata,2,8.000020000000001,5.0,8.3,7.291666666666667,10.0,1.0,1,7.2558353333333345,F,0,2020
ALUNO-190,7.666666666666667,0.0,1,3.0,1,9.666670000000002,B,Sim,10.0,Topázio,4,8.33334,6.875,9.2,9.0625,17.0,0.0,7,8.733751333333334,M,1,2020
ALUNO-192,0.0,-1.0,0,2.0,0,7.444443333333333,B,Não,5.0,Quartzo,1,7.416679999999999,5.0,5.1,6.041666666666666,11.0,1.0,1,4.854723333333333,F,0,2020
ALUNO-193,7.0,0.0,1,4.0,0,9.333333333333332,R,Sim,10.0,Topázio,4,10.00002,5.0,9.8,8.125,13.0,1.0,3,8.539168666666667,F,1,2020
ALUNO-194,6.333333333333333,-1.0,0,3.0,1,7.04167,R,Não,5.0,Ágata,2,8.33334,6.875,8.3,7.65625,17.0,0.0,6,7.1214596666666665,M,0,2020
ALUNO-197,8.666666666666666,0.0,0,1.0,0,8.5,B,Não,10.0,Topázio,4,8.33334,7.5,9.6,8.958333333333332,12.0,0.0,3,8.832500666666666,M,1,2020
ALUNO-198,4.5,0.0,0,3.0,0,6.291665,B,Não,10.0,Quartzo,1,0.0,5.625,6.1,5.78125,16.0,0.0,6,5.518958,M,1,2020
ALUNO-199,7.666666666666667,-1.0,0,1.0,0,7.388886666666666,B,Não,5.0,Ágata,2,6.25,7.5,4.8,8.125,14.0,1.0,3,6.658610666666666,F,0,2020
ALUNO-200,5.666666666666667,1.0,0,4.0,0,8.5416725,B,Não,10.0,Ametista,3,7.91667,7.5,5.8,8.125,13.0,0.0,4,7.355834833333334,M,0,2020
ALUNO-201,8.0,-1.0,0,1.0,0,7.4166675,B,Não,5.0,Ametista,3,7.08333,7.5,9.4,7.96875,14.0,0.0,3,7.718541500000001,M,0,2020
ALUNO-202,0.0,-1.0,0,2.0,0,6.833326666666666,B,Não,5.0,Quartzo,1,0.0,6.875,2.9,6.458333333333334,12.0,1.0,2,3.7799986666666663,F,0,2020
ALUNO-206,2.0,0.0,0,2.0,0,7.1249975,B,Não,10.0,Quartzo,1,0.0,7.5,4.3,7.8125,16.0,0.0,6,5.2162495,M,1,2020
ALUNO-208,5.0,0.0,0,0.0,0,7.5,B,Não,10.0,Ametista,3,9.000020000000001,7.5,9.4,8.125,11.0,1.0,2,7.842502,F,1,2020
ALUNO-209,10.0,-1.0,1,1.0,0,10.00001,R,Sim,5.0,Topázio,4,9.50002,6.25,10.0,10.0,9.0,0.0,0,9.075004,M,0,2020
ALUNO-210,5.666666666666667,2.0,0,3.0,1,8.277783333333332,B,Não,10.0,Ametista,3,10.00002,7.5,9.1,8.541666666666666,13.0,0.0,5,8.213058666666669,M,0,2020
ALUNO-212,7.0,0.0,0,1.0,0,2.58334,R,Não,10.0,Ágata,2,7.416679999999999,4.375,10.0,2.5,8.0,0.0,0,6.345836,M,1,2020
ALUNO-213,9.0,-1.0,0,2.0,0,7.833336666666668,B,Não,5.0,Ametista,3,9.000020000000001,5.0,9.7,8.749999999999998,12.0,1.0,2,8.081669333333334,F,0,2020
ALUNO-215,10.0,0.0,0,1.0,0,7.666665,B,Não,10.0,Topázio,4,9.50002,7.5,9.3,7.8125,9.0,1.0,1,8.874585000000002,F,1,2020
ALUNO-217,9.5,0.0,1,1.0,0,9.000005,B,Sim,10.0,Topázio,4,8.000020000000001,7.5,9.4,8.125,9.0,1.0,1,8.942503,F,1,2020
ALUNO-219,5.0,0.0,0,1.0,0,7.916665,B,Não,10.0,Ametista,3,9.50002,8.75,7.9,8.4375,11.0,1.0,2,7.832084999999999,F,1,2020
ALUNO-222,9.5,0.0,0,1.0,0,8.25,B,Não,10.0,Topázio,4,9.000020000000001,7.5,7.8,7.1875,8.0,0.0,1,8.478752,M,1,2020
ALUNO-223,5.0,-1.0,0,1.0,0,8.055556666666668,R,Não,5.0,Ágata,2,9.000020000000001,6.875,5.2,8.541666666666668,10.0,0.0,1,6.59278,M,0,2020
ALUNO-225,8.333333333333334,0.0,0,4.0,0,8.277783333333334,P,Não,10.0,Topázio,4,9.58335,7.5,9.7,8.749999999999998,14.0,1.0,4,8.845558333333333,F,1,2020
ALUNO-226,7.5,0.0,0,2.0,1,8.222223333333332,R,Não,10.0,Ametista,3,8.500020000000001,5.625,7.4,8.125,11.0,0.0,2,7.849446666666667,M,1,2020
ALUNO-227,6.333333333333333,-2.0,0,0.0,0,6.0416625,R,Não,5.0,Quartzo,1,8.75001,7.5,3.0,7.8125,15.0,1.0,3,5.981250166666666,F,0,2020
ALUNO-229,0.0,-1.0,0,1.0,0,7.777776666666667,B,Não,5.0,Quartzo,1,7.33334,7.5,7.8,7.916666666666668,10.0,1.0,1,5.890556,F,0,2020
ALUNO-230,2.333333333333333,-1.0,0,4.0,1,4.611106666666667,B,Não,5.0,Quartzo,1,8.75001,4.375,6.1,5.833333333333333,14.0,0.0,3,5.0047223333333335,M,0,2020
ALUNO-231,4.333333333333333,0.0,0,1.0,0,6.5833325,B,Não,10.0,Quartzo,1,8.33334,5.0,3.7,7.03125,16.0,1.0,6,5.959792166666666,F,1,2020
ALUNO-235,7.666666666666667,0.0,0,1.0,1,7.2916675,B,Não,10.0,Ametista,3,8.333350000000001,7.5,9.0,7.5,12.0,1.0,3,8.125001833333334,F,1,2020
ALUNO-238,4.0,-1.0,0,1.0,0,7.75,R,Não,5.0,Ágata,2,9.000020000000001,5.0,8.4,5.625,13.0,0.0,2,6.492502,M,0,2020
ALUNO-241,9.5,-1.0,0,3.0,0,6.75,B,Não,5.0,Ametista,3,9.000020000000001,6.25,8.8,2.5,11.0,0.0,1,7.285002,M,0,2020
ALUNO-242,5.5,-1.0,0,2.0,0,6.916665,B,Não,5.0,Ágata,2,9.000020000000001,6.25,7.4,7.1875,11.0,0.0,1,6.707085000000001,M,0,2020
ALUNO-246,8.0,-1.0,0,1.0,0,7.666666666666666,R,Não,5.0,Ametista,3,9.50002,6.875,8.3,7.083333333333333,10.0,1.0,1,7.639168666666666,F,0,2020
ALUNO-251,10.0,0.0,0,1.0,0,7.333333333333333,B,Não,10.0,Topázio,4,8.500020000000001,7.5,8.9,7.291666666666667,9.0,1.0,1,8.575835333333334,F,1,2020
ALUNO-259,7.666666666666667,0.0,1,1.0,1,9.2916725,R,Sim,10.0,Topázio,4,9.16668,7.5,9.1,8.75,17.0,0.0,7,8.753335833333333,M,1,2020
ALUNO-261,6.333333333333333,-3.0,0,0.0,0,7.79167,R,Não,2.5,Ágata,2,9.16668,7.5,8.8,7.5,16.0,0.0,3,7.251668666666667,M,0,2020
ALUNO-262,6.666666666666667,0.0,1,3.0,1,9.250005,R,Sim,10.0,Ametista,3,7.91667,5.0,9.2,9.0625,15.0,0.0,5,8.221251333333335,M,1,2020
ALUNO-263,6.333333333333333,0.0,0,4.0,1,8.388893333333336,B,Não,10.0,Ametista,3,9.58335,6.875,9.5,8.958333333333332,15.0,1.0,5,8.386113666666667,F,1,2020
ALUNO-265,6.0,-1.0,0,1.0,0,7.777783333333335,B,Não,5.0,Ametista,3,8.75001,6.875,10.0,8.125,15.0,1.0,4,7.630557666666667,F,0,2020
ALUNO-266,8.5,0.0,0,1.0,0,8.0,R,Não,10.0,Ametista,3,8.500020000000001,5.625,8.9,8.4375,9.0,0.0,1,8.336252,M,1,2020
ALUNO-267,8.0,-1.0,1,2.0,1,9.777786666666666,R,Sim,5.0,Ametista,3,9.16668,5.625,9.7,8.958333333333334,14.0,0.0,3,8.370558666666668,M,0,2020
ALUNO-269,5.75,-1.0,0,1.0,0,7.5,B,Não,5.0,Ágata,2,7.50002,7.5,8.6,7.291666666666667,11.0,0.0,1,7.099168666666667,M,0,2020
ALUNO-270,8.666666666666666,1.0,0,3.0,0,8.500003333333334,B,Não,10.0,Ágata,2,6.66667,4.375,4.2,8.125,11.0,0.0,3,7.1900010000000005,M,0,2020
ALUNO-273,0.0,-3.0,0,2.0,0,4.388883333333333,B,Não,2.5,Quartzo,1,9.000020000000001,7.5,4.4,7.291666666666667,14.0,1.0,1,4.386945333333334,F,0,2020
ALUNO-274,3.6666666666666665,-1.0,0,2.0,0,7.444443333333334,R,Não,5.0,Ágata,2,7.91667,7.5,5.6,7.291666666666667,16.0,1.0,5,6.113055666666667,F,0,2020
ALUNO-275,4.333333333333333,0.0,0,3.0,0,5.666665,B,Não,10.0,Ágata,2,10.00002,7.5,5.2,6.09375,13.0,1.0,3,6.399376666666667,F,1,2020
ALUNO-277,10.0,-2.0,0,2.0,0,7.777773333333332,R,Não,5.0,Ametista,3,9.50002,5.625,8.4,7.708333333333334,12.0,0.0,1,8.018889999999999,M,0,2020
ALUNO-278,7.333333333333333,-2.0,0,1.0,0,8.333333333333334,B,Não,5.0,Ametista,3,8.75001,9.375,9.6,8.749999999999998,17.0,0.0,5,8.240834333333334,M,0,2020
ALUNO-280,6.5,-1.0,0,2.0,0,8.0,R,Não,5.0,Ágata,2,8.500020000000001,5.0,6.2,6.5625,10.0,0.0,1,6.6462520000000005,M,0,2020
ALUNO-284,7.666666666666667,-1.0,0,0.0,0,7.7500025,R,Não,5.0,Ametista,3,7.91667,7.5,9.9,7.96875,14.0,0.0,3,7.901875833333333,M,0,2020
ALUNO-285,1.0,0.0,0,0.0,0,7.0,B,Não,10.0,Quartzo,1,9.50002,7.5,0.0,8.125,11.0,1.0,2,5.112502,F,1,2020
ALUNO-286,7.5,-2.0,0,0.0,0,7.75,B,Não,5.0,Ágata,2,8.000020000000001,6.875,6.0,7.1875,12.0,1.0,1,6.956252,F,0,2020
