,nome,idade,cg,pedra,inde,iaa,ieg,ips,ida,ipv,ian,ipp,qtd_aval,indicado_bolsa,sexo,ponto_virada_encoded,anos_pm,destaque_ieg_resultado_encoded,destaque_ida_resultado_encoded,destaque_ipv_resultado_encoded,rec_sintese,diff_fase
10,ALUNO-18,16.0,746.0,Quartzo,5.845721955648926,0.0,6.287640056022409,8.125,5.222222222222222,7.2499975,5.0,7.8125,4.0,Sim,M,0,5.0,-1,-1,-1,1.0,-2.0
11,ALUNO-19,13.0,188.0,Ametista,7.843149036414566,10.00002,9.054621848739496,7.5,7.466666666666667,8.111113333333334,5.0,6.666666666666666,3.0,Não,M,0,1.0,1,-1,1,1.0,-1.0
12,ALUNO-20,8.0,28.0,Topázio,8.616243765480895,10.00002,9.552042160737813,7.5,8.466666666666667,8.5,10.0,5.625,2.0,Não,F,1,0.0,1,1,1,1.0,0.0
13,ALUNO-21,16.0,771.0,Quartzo,5.652385860342557,7.91667,5.649085968379447,5.0,5.166666666666667,6.222216666666668,2.5,7.03125,3.0,Não,M,0,0.0,-1,-1,-1,0.0,-3.0
14,ALUNO-22,8.0,116.0,Topázio,8.098496318150449,8.000020000000001,8.982056590752244,7.5,9.25,7.166665,10.0,4.6875,2.0,Não,F,0,0.0,1,1,-1,1.0,0.0
15,ALUNO-23,11.0,208.0,Ametista,7.78265826912142,8.000020000000001,7.7986963456071,7.5,9.25,8.333335,5.0,6.5625,2.0,Não,F,0,0.0,1,1,1,1.0,-1.0
16,ALUNO-24,11.0,66.0,Topázio,8.26975686419753,10.00002,9.320987654320987,6.875,6.75,8.611119999999998,10.0,6.458333333333333,3.0,Sim,F,1,0.0,1,-1,1,0.0,0.0
17,ALUNO-25,8.0,154.0,Ametista,7.95176506926407,7.50002,8.346320346320347,7.5,9.1,8.249995,10.0,3.125,2.0,Não,M,0,0.0,1,1,1,1.0,0.0
18,ALUNO-26,9.0,224.0,Ametista,7.738020410934745,9.000020000000001,8.721340388007054,7.5,9.166666666666666,7.083335,5.0,5.9375,2.0,Não,F,0,0.0,1,1,-1,1.0,-1.0
19,ALUNO-27,14.0,668.0,Ágata,6.350091965367965,9.000020000000001,6.493506493506493,7.5,4.583333333333333,7.111109999999999,5.0,5.625,3.0,Não,M,0,0.0,-1,-1,-1,0.0,-2.0
20,ALUNO-29,16.0,827.0,Quartzo,4.935556331573656,0.0,4.832296380090497,7.5,5.777777777777778,5.7083325,2.5,6.71875,4.0,Não,F,0,1.0,-1,-1,-1,1.0,-3.0
21,ALUNO-30,9.0,122.0,Topázio,8.083535682039548,10.00002,9.005163410197735,7.5,9.1,8.250005,5.0,5.625,2.0,Sim,F,0,0.0,1,1,1,1.0,-1.0
22,ALUNO-31,8.0,408.0,Ametista,7.263157796906798,6.91668,7.317867317867318,7.5,7.466666666666667,6.666665,10.0,5.3125,2.0,Não,F,0,0.0,-1,-1,-1,0.0,0.0
23,ALUNO-32,18.0,558.0,Ágata,6.792708666666667,7.91667,8.333333333333334,7.5,4.0,7.75,5.0,7.34375,4.0,Sim,F,0,0.0,1,-1,1,0.0,-1.0
24,ALUNO-34,14.0,599.0,Ágata,6.666787745731961,7.5,7.056167617548691,7.5,6.111111111111111,6.41666,5.0,7.5,4.0,Não,F,0,4.0,-1,-1,-1,1.0,-1.0
25,ALUNO-36,16.0,538.0,Ágata,6.854039584291188,5.83333,8.074712643678161,6.25,5.877777777777777,7.7916675,5.0,7.96875,4.0,Sim,F,0,3.0,1,-1,1,1.0,-2.0
26,ALUNO-37,12.0,292.0,Ametista,7.55554175568551,8.500020000000001,9.041585445094215,7.5,7.333333333333333,7.777779999999999,5.0,6.25,3.0,Não,M,0,4.0,1,-1,1,0.0,-1.0
27,ALUNO-38,14.0,590.0,Ágata,6.695387571428572,9.16668,6.721726190476191,6.25,5.666666666666667,7.20833,5.0,7.34375,4.0,Sim,F,0,1.0,-1,-1,-1,1.0,-1.0
28,ALUNO-42,8.0,849.0,Quartzo,4.279765904761905,9.000020000000001,3.148809523809524,7.5,2.5,2.50001,10.0,0.0,2.0,Não,M,0,1.0,-1,-1,-1,,0.0
29,ALUNO-45,13.0,576.0,Ágata,6.730556,7.916679999999999,9.166666666666666,6.25,5.0,6.777773333333332,5.0,6.25,3.0,Não,M,0,0.0,1,-1,-1,0.0,-1.0
30,ALUNO-46,10.0,362.0,Ametista,7.398436561403509,8.500020000000001,9.082456140350876,7.5,5.0,6.888883333333333,10.0,6.041666666666667,3.0,Não,F,0,2.0,1,-1,-1,0.0,0.0
31,ALUNO-47,11.0,254.0,Ametista,7.65278,8.500020000000001,10.0,7.5,7.416666666666666,7.222223333333333,5.0,6.25,3.0,Não,M,0,1.0,1,-1,-1,1.0,-1.0
32,ALUNO-48,16.0,855.0,Quartzo,3.914881285714285,5.41667,3.803571428571429,6.25,0.0,4.625,5.0,5.625,4.0,Não,F,0,0.0,-1,-1,-1,0.0,-1.0
33,ALUNO-49,9.0,54.0,Topázio,8.339586333333333,9.50002,10.0,7.5,8.166666666666666,9.250005,5.0,6.5625,2.0,Não,F,1,0.0,1,1,1,1.0,-1.0
34,ALUNO-50,13.0,823.0,Quartzo,4.966393630641453,0.0,4.630580097651709,7.5,3.055555555555556,5.5833325,10.0,5.625,4.0,Não,M,0,0.0,-1,-1,-1,0.0,0.0
35,ALUNO-51,10.0,504.0,Ágata,6.953190321839081,9.000020000000001,9.203448275862067,7.5,5.083333333333334,6.91666,5.0,5.625,2.0,Não,M,0,3.0,1,-1,-1,0.0,-1.0
36,ALUNO-56,18.0,861.0,Quartzo,3.036573379084968,0.0,3.597794117647059,5.0,0.4444444444444445,4.500003333333333,5.0,3.28125,4.0,Não,M,0,1.0,-1,-1,-1,0.0,-1.0
37,ALUNO-58,14.0,386.0,Ametista,7.305158063492064,7.91667,7.991071428571429,7.5,6.888888888888889,7.374995,5.0,8.125,4.0,Sim,F,0,0.0,1,-1,-1,1.0,-1.0
38,ALUNO-60,19.0,753.0,Quartzo,5.783132947712418,8.33334,4.129901960784314,5.625,4.044444444444444,7.277773333333332,5.0,7.96875,4.0,Sim,M,0,6.0,-1,-1,-1,0.0,-1.0
39,ALUNO-61,12.0,658.0,Ágata,6.410355757575758,10.00002,7.787878787878788,7.5,2.5,7.38889,5.0,6.25,3.0,Não,F,0,2.0,1,-1,-1,0.0,-1.0
40,ALUNO-63,9.0,594.0,Ágata,6.683821329434698,9.50002,8.544103313840155,5.625,5.083333333333334,6.91666,5.0,5.625,2.0,Não,F,0,0.0,1,-1,-1,0.0,-1.0
41,ALUNO-64,15.0,839.0,Quartzo,4.664931388888889,8.75001,3.611111111111112,7.5,2.833333333333333,3.8333325,5.0,4.84375,4.0,Não,M,0,0.0,-1,-1,-1,0.0,-2.0
42,ALUNO-65,11.0,146.0,Ametista,7.987503111111112,10.00002,9.555555555555555,5.625,8.166666666666666,8.777783333333334,5.0,6.25,3.0,Não,M,1,1.0,1,1,1,1.0,-1.0
43,ALUNO-66,13.0,442.0,Ametista,7.171874500000001,6.66667,5.784722222222221,7.5,7.777777777777779,6.5416625,10.0,7.34375,4.0,Não,F,0,1.0,-1,1,-1,1.0,0.0
44,ALUNO-67,11.0,564.0,Ágata,6.770192769423559,9.000020000000001,7.88220551378446,5.0,5.583333333333333,7.916665,5.0,5.9375,2.0,Não,F,0,1.0,1,-1,1,1.0,-1.0
45,ALUNO-69,9.0,272.0,Ametista,7.598297219273481,10.00002,7.545642763034067,7.5,7.883333333333333,8.5,5.0,5.625,2.0,Sim,M,1,0.0,1,1,1,1.0,-1.0
46,ALUNO-70,11.0,84.0,Topázio,8.205557333333335,10.00002,8.833333333333332,7.5,6.5,8.61111,10.0,6.666666666666666,3.0,Não,F,1,0.0,1,-1,1,0.0,0.0
47,ALUNO-72,9.0,227.0,Ametista,7.728843833635814,7.50002,8.602540834845735,8.125,8.833333333333332,8.083335,5.0,5.625,2.0,Não,F,0,0.0,1,1,1,1.0,-1.0
48,ALUNO-73,16.0,586.0,Ágata,6.712044773504273,8.33334,6.992521367521367,7.5,6.5,6.2916575,5.0,6.71875,4.0,Não,F,0,0.0,-1,-1,-1,0.0,-2.0
49,ALUNO-74,15.0,593.0,Ágata,6.684722722222222,7.91667,6.25,6.875,6.111111111111112,7.4166675,5.0,7.5,4.0,Não,F,0,0.0,-1,-1,-1,1.0,-1.0
50,ALUNO-75,13.0,1.0,Topázio,9.441521857142858,10.00002,9.660714285714286,9.375,8.5,9.75001,10.0,9.21875,4.0,Não,F,1,3.0,1,1,1,1.0,2.0
51,ALUNO-76,9.0,61.0,Topázio,8.306175283950617,10.00002,9.419753086419751,7.5,7.166666666666666,8.27778,10.0,5.833333333333334,3.0,Não,F,0,2.0,1,-1,1,1.0,0.0
52,ALUNO-77,11.0,169.0,Ametista,7.901663220043574,10.00002,8.237472766884531,8.75,8.333333333333332,8.25,5.0,5.625,2.0,Não,F,0,1.0,1,1,1,1.0,-2.0
53,ALUNO-78,12.0,271.0,Ametista,7.604387307346327,6.91668,9.480259870064968,7.5,7.666666666666666,7.833336666666667,5.0,6.666666666666666,3.0,Não,F,0,5.0,1,1,1,1.0,-2.0
54,ALUNO-79,13.0,452.0,Ametista,7.110494326118326,9.58335,7.463924963924963,7.5,3.666666666666667,7.20833,10.0,7.34375,4.0,Não,M,0,0.0,-1,-1,-1,0.0,0.0
55,ALUNO-80,12.0,633.0,Ágata,6.580093259259259,6.83334,9.296296296296296,5.625,4.25,7.5,5.0,6.25,3.0,Não,M,0,0.0,1,-1,1,0.0,-1.0
56,ALUNO-81,17.0,327.0,Ametista,7.474202506556246,8.33334,7.402950310559007,8.125,6.655555555555555,8.833336666666666,5.0,7.5,4.0,Não,F,1,3.0,-1,-1,1,1.0,-1.0
57,ALUNO-83,16.0,429.0,Ametista,7.202977523809524,7.91667,7.819047619047619,7.5,6.8,7.750005,5.0,6.875,3.0,Não,F,0,6.0,1,-1,1,1.0,-1.0
58,ALUNO-84,10.0,309.0,Ametista,7.502401434343434,9.000020000000001,8.838383838383837,7.5,6.25,8.444446666666666,5.0,6.458333333333334,3.0,Sim,F,1,1.0,1,-1,1,1.0,-1.0
59,ALUNO-85,11.0,218.0,Ametista,7.744553615384616,9.50002,9.743589743589745,5.0,7.583333333333333,8.833335,5.0,5.625,2.0,Não,M,1,3.0,1,1,1,1.0,-1.0
60,ALUNO-87,16.0,608.0,Ágata,6.644810737664296,9.16668,5.652169521654815,5.625,6.566666666666667,7.1250025,5.0,7.96875,4.0,Não,F,0,6.0,-1,-1,-1,1.0,-1.0
61,ALUNO-88,13.0,44.0,Topázio,8.427269800194932,9.58335,9.11793372319688,5.625,6.877777777777777,9.0833375,10.0,8.90625,4.0,Não,F,1,4.0,1,-1,1,1.0,0.0
62,ALUNO-90,16.0,812.0,Quartzo,5.195056982905983,5.833320000000001,3.004807692307692,7.5,3.555555555555556,6.888886666666665,5.0,6.71875,4.0,Não,M,0,3.0,-1,-1,-1,1.0,-1.0
63,ALUNO-91,12.0,350.0,Ametista,7.412884468772608,8.500020000000001,7.918575677196368,7.5,7.916666666666667,7.500003333333334,5.0,6.458333333333334,3.0,Não,F,0,4.0,1,1,1,1.0,-1.0
64,ALUNO-92,11.0,416.0,Ametista,7.232068817813765,9.50002,9.26450742240216,7.5,5.416666666666666,7.66666,5.0,5.625,2.0,Não,F,0,0.0,1,-1,1,0.0,-2.0
65,ALUNO-97,14.0,310.0,Ametista,7.501754052631579,7.91667,8.467105263157894,7.5,7.0,5.58333,10.0,7.5,4.0,Não,F,0,4.0,1,-1,-1,1.0,0.0
66,ALUNO-98,15.0,363.0,Ametista,7.396527277777778,7.91667,8.520833333333332,7.5,7.055555555555556,7.2916625,5.0,7.8125,4.0,Sim,F,0,1.0,1,-1,-1,1.0,-2.0
67,ALUNO-99,18.0,207.0,Ametista,7.7833335,8.75001,10.0,7.5,7.25,7.2916625,5.0,7.5,4.0,Sim,M,0,0.0,1,-1,-1,1.0,-1.0
68,ALUNO-100,14.0,720.0,Ágata,6.042318760312152,9.000020000000001,8.475473801560758,5.0,1.666666666666666,7.444443333333333,5.0,6.25,3.0,Não,F,0,4.0,1,-1,-1,0.0,-2.0
69,ALUNO-101,13.0,324.0,Ametista,7.477568777777778,7.08333,7.854166666666666,6.25,6.622222222222223,7.416665,10.0,7.65625,4.0,Sim,M,0,0.0,1,-1,-1,1.0,0.0
70,ALUNO-102,11.0,325.0,Ametista,7.475860455026456,7.333340000000001,8.941798941798943,7.5,7.666666666666666,7.833333333333333,5.0,6.041666666666667,3.0,Não,M,0,2.0,1,1,1,0.0,-1.0
71,ALUNO-103,10.0,454.0,Ametista,7.105690655172413,9.50002,8.903448275862068,5.625,6.0,7.749995,5.0,5.625,2.0,Não,F,0,2.0,1,-1,1,0.0,-1.0
72,ALUNO-104,8.0,52.0,Topázio,8.357710510121457,10.00002,9.392712550607287,7.5,7.25,8.58333,10.0,5.625,2.0,Não,M,1,1.0,1,-1,1,0.0,0.0
73,ALUNO-107,11.0,728.0,Ágata,6.01131119047619,7.91668,4.952380952380953,7.5,4.0,8.083335,5.0,5.625,2.0,Não,F,0,0.0,-1,-1,1,0.0,-2.0
74,ALUNO-108,9.0,256.0,Ametista,7.642290505279036,9.000020000000001,8.565610859728508,7.5,8.416666666666668,7.666665,5.0,5.625,2.0,Não,F,0,0.0,1,1,1,0.0,-1.0
75,ALUNO-110,8.0,345.0,Ametista,7.426485448585232,10.00002,6.590752242926156,8.125,5.5,8.166665,10.0,5.625,2.0,Não,M,0,0.0,-1,-1,1,1.0,0.0
76,ALUNO-113,13.0,659.0,Ágata,6.40909040909091,9.16668,6.253787878787879,5.625,5.166666666666666,5.4166575,10.0,5.625,4.0,Não,F,0,3.0,-1,-1,-1,0.0,0.0
77,ALUNO-114,9.0,318.0,Ametista,7.484211146117041,9.50002,7.748129063918538,7.5,8.766666666666666,7.25,5.0,5.3125,2.0,Não,M,0,0.0,1,1,-1,1.0,-1.0
78,ALUNO-116,11.0,163.0,Ametista,7.913890666666667,10.00002,9.333333333333332,7.5,5.75,7.61111,10.0,6.25,3.0,Não,M,0,0.0,1,-1,1,0.0,0.0
79,ALUNO-118,10.0,57.0,Topázio,8.334031111111113,10.00002,8.38888888888889,7.5,9.416666666666668,9.33334,5.0,6.5625,2.0,Sim,F,1,3.0,1,1,1,1.0,-1.0
80,ALUNO-119,13.0,76.0,Topázio,8.230908478550688,9.16668,8.635443503864556,6.25,8.888888888888888,7.249995,10.0,7.34375,4.0,Não,F,0,0.0,1,1,-1,1.0,0.0
81,ALUNO-121,13.0,696.0,Ágata,6.244752193362194,8.000020000000001,8.466810966810968,7.5,2.5,6.777773333333332,5.0,6.458333333333334,3.0,Não,F,0,0.0,1,-1,-1,0.0,-1.0
82,ALUNO-122,9.0,67.0,Topázio,8.265278666666667,9.000020000000001,10.0,7.5,8.0,7.055549999999999,10.0,6.041666666666667,3.0,Não,F,0,0.0,1,1,-1,0.0,0.0
83,ALUNO-123,11.0,265.0,Ametista,7.619194363636365,9.50002,6.818181818181817,7.5,6.0,8.444446666666668,10.0,6.666666666666666,3.0,Sim,F,1,0.0,-1,-1,1,0.0,0.0
84,ALUNO-124,9.0,424.0,Ametista,7.209561440115441,9.000020000000001,8.033910533910534,7.5,5.166666666666667,6.888886666666665,10.0,5.416666666666667,3.0,Não,M,0,1.0,1,-1,-1,0.0,0.0
85,ALUNO-126,11.0,421.0,Ametista,7.216575886639676,9.000020000000001,8.468286099865047,7.5,7.333333333333333,7.5,5.0,4.0625,2.0,Não,F,0,1.0,1,-1,1,1.0,-2.0
86,ALUNO-127,11.0,532.0,Ágata,6.865748086580086,10.00002,7.932900432900433,7.5,5.5,6.833329999999998,5.0,5.625,3.0,Não,F,0,1.0,1,-1,-1,0.0,-1.0
87,ALUNO-128,11.0,485.0,Ágata,7.00427655844156,9.000020000000001,9.45887445887446,5.625,6.083333333333333,7.166665,5.0,5.0,2.0,Não,F,0,3.0,1,-1,-1,0.0,-2.0
88,ALUNO-129,13.0,428.0,Ametista,7.203235887774063,9.000020000000001,6.793942772203643,5.625,8.083333333333332,7.888893333333335,5.0,6.875,3.0,Sim,F,0,1.0,-1,1,1,1.0,-1.0
89,ALUNO-130,8.0,72.0,Topázio,8.259504831168831,9.50002,7.489177489177488,8.125,9.266666666666666,7.91667,10.0,5.625,2.0,Não,F,0,0.0,-1,1,1,0.0,0.0
90,ALUNO-131,13.0,347.0,Ametista,7.423958,7.91667,8.75,4.375,6.75,6.95833,10.0,7.03125,4.0,Não,F,0,0.0,1,-1,-1,1.0,0.0
91,ALUNO-133,12.0,396.0,Ametista,7.292060604010025,8.000020000000001,9.116541353383456,6.875,7.166666666666666,7.583335,5.0,5.3125,2.0,Não,M,0,3.0,1,-1,1,0.0,-2.0
92,ALUNO-134,15.0,460.0,Ametista,7.086938830687831,10.00002,9.153439153439152,5.625,5.75,6.624995,5.0,7.1875,4.0,Não,F,0,0.0,1,-1,-1,1.0,-2.0
93,ALUNO-135,11.0,805.0,Quartzo,5.262717116883117,9.000020000000001,4.75108225108225,5.0,2.416666666666667,6.833326666666666,5.0,5.625,3.0,Não,F,0,3.0,-1,-1,-1,0.0,-1.0
94,ALUNO-138,9.0,41.0,Topázio,8.452910432147561,10.00002,9.552042160737813,7.5,9.65,9.0,5.0,5.625,2.0,Não,F,1,0.0,1,1,1,1.0,-1.0
95,ALUNO-140,11.0,505.0,Ágata,6.952048450292399,9.50002,7.218567251461989,5.625,7.25,7.416665,5.0,5.625,2.0,Não,F,0,0.0,-1,-1,-1,1.0,-2.0
96,ALUNO-141,13.0,378.0,Ametista,7.338636696969697,9.58335,8.068181818181818,7.5,5.166666666666667,6.166660000000001,10.0,7.5,3.0,Não,M,0,0.0,1,-1,-1,0.0,0.0
97,ALUNO-142,14.0,121.0,Topázio,8.083730668737061,10.00002,8.989820565907522,7.5,7.777777777777779,8.41667,5.0,7.96875,4.0,Sim,F,1,0.0,1,1,1,1.0,-1.0
98,ALUNO-143,14.0,674.0,Ágata,6.330913823620824,8.75001,6.444493006993008,5.0,5.111111111111111,7.208335,5.0,7.03125,4.0,Não,M,0,1.0,-1,-1,-1,1.0,-1.0
99,ALUNO-144,15.0,156.0,Ametista,7.946686340802987,8.33334,9.15703781512605,7.5,7.888888888888888,8.208335,5.0,8.125,4.0,Sim,M,0,0.0,1,1,1,1.0,-1.0
100,ALUNO-148,11.0,267.0,Ametista,7.618983703703704,9.50002,9.351851851851851,7.5,6.5,8.222223333333332,5.0,6.041666666666667,3.0,Não,F,0,0.0,1,-1,1,1.0,-1.0
101,ALUNO-150,13.0,80.0,Topázio,8.219954610229276,10.00002,9.717813051146384,5.0,9.0,8.94445,5.0,6.875,3.0,Sim,M,1,0.0,1,1,1,1.0,-1.0
102,ALUNO-151,13.0,79.0,Topázio,8.225582168498168,8.33334,8.436240842490841,6.875,7.900000000000001,8.125,10.0,8.125,4.0,Não,M,0,3.0,1,1,1,1.0,0.0
103,ALUNO-152,13.0,268.0,Ametista,7.618388587937373,8.75001,7.806870995242416,5.0,7.644444444444443,7.2499975,10.0,7.03125,4.0,Não,F,0,3.0,1,1,-1,1.0,1.0
104,ALUNO-153,15.0,3.0,Topázio,9.105280944444443,10.00002,9.09722222222222,8.125,8.700000000000001,9.2916725,10.0,8.75,4.0,Não,M,1,5.0,1,1,1,1.0,0.0
105,ALUNO-154,12.0,828.0,Quartzo,4.934497092833093,3.49998,3.797498797498797,7.5,3.75,5.999996666666666,5.0,6.25,3.0,Não,M,0,3.0,-1,-1,-1,0.0,-2.0
106,ALUNO-156,14.0,297.0,Ametista,7.535259906926407,7.91667,8.159632034632034,5.0,6.599999999999999,7.7083325,10.0,7.5,4.0,Não,M,0,4.0,1,-1,1,1.0,0.0
107,ALUNO-158,16.0,772.0,Quartzo,5.623852223240812,8.33334,4.747740005092947,5.0,4.111111111111112,6.49999,5.0,7.1875,4.0,Não,F,0,4.0,-1,-1,-1,1.0,-2.0
108,ALUNO-159,11.0,316.0,Ametista,7.484878876543211,9.000020000000001,8.966049382716049,5.625,7.25,8.583335,5.0,5.625,2.0,Não,F,1,1.0,1,-1,1,1.0,-2.0
109,ALUNO-164,12.0,544.0,Ágata,6.837216877492878,8.500020000000001,7.304131054131053,7.5,5.75,7.61111,5.0,6.041666666666667,3.0,Não,F,0,3.0,-1,-1,1,0.0,-1.0
110,ALUNO-165,13.0,90.0,Topázio,8.18081096969697,8.500020000000001,9.848484848484848,8.125,8.416666666666668,8.388893333333334,5.0,6.875,3.0,Sim,F,1,3.0,1,1,1,0.0,-2.0
111,ALUNO-166,11.0,612.0,Ágata,6.641311207977208,9.50002,9.03988603988604,4.375,4.75,7.16666,5.0,5.625,2.0,Não,F,0,0.0,1,-1,-1,0.0,-1.0
112,ALUNO-167,11.0,491.0,Ágata,6.985914031746033,8.500020000000001,8.825396825396826,7.5,2.75,7.333329999999999,10.0,6.041666666666667,3.0,Não,F,0,1.0,1,-1,-1,0.0,0.0
113,ALUNO-168,13.0,654.0,Ágata,6.434172224089636,9.000020000000001,6.002801120448179,6.25,6.133333333333333,6.888883333333332,5.0,6.041666666666667,3.0,Não,F,0,3.0,-1,-1,-1,0.0,-1.0
114,ALUNO-169,10.0,398.0,Ametista,7.284936897435898,9.50002,8.945512820512821,5.0,6.916666666666666,7.999995,5.0,5.625,2.0,Não,F,0,2.0,1,-1,1,0.0,-2.0
115,ALUNO-170,13.0,300.0,Ametista,7.523833791887125,7.50002,8.959435626102293,7.5,8.25,7.38889,5.0,6.041666666666667,3.0,Não,F,0,0.0,1,1,-1,0.0,-2.0
116,ALUNO-171,15.0,387.0,Ametista,7.304860777777779,7.91667,8.255555555555556,7.5,7.633333333333333,6.83333,5.0,7.1875,4.0,Sim,F,0,1.0,1,1,-1,1.0,-1.0
117,ALUNO-172,11.0,661.0,Ágata,6.407077164021164,6.41668,8.32010582010582,5.0,5.75,6.94444,5.0,5.625,3.0,Não,F,0,0.0,1,-1,-1,1.0,-1.0
118,ALUNO-175,14.0,293.0,Ametista,7.540822106753813,8.33334,7.676334422657952,7.5,6.111111111111111,7.249995,10.0,7.5,4.0,Não,F,0,0.0,1,-1,-1,1.0,0.0
119,ALUNO-176,14.0,816.0,Quartzo,5.096608405982907,6.66666,7.391025641025641,5.0,2.888888888888889,4.2916725,5.0,5.15625,4.0,Não,F,0,5.0,-1,-1,-1,0.0,-1.0
120,ALUNO-177,8.0,65.0,Topázio,8.27865517948718,9.50002,8.964102564102564,7.5,8.783333333333333,7.33333,10.0,5.625,2.0,Não,F,0,1.0,1,1,-1,1.0,0.0
121,ALUNO-178,8.0,426.0,Ametista,7.205336595776773,8.500020000000001,9.547511312217194,7.5,3.416666666666667,7.249995,10.0,5.625,2.0,Não,F,0,0.0,1,-1,-1,0.0,0.0
122,ALUNO-179,13.0,238.0,Ametista,7.68295498989899,6.83334,8.69949494949495,7.5,9.5,7.111109999999999,5.0,6.875,3.0,Não,F,0,0.0,1,1,-1,0.0,-1.0
123,ALUNO-180,9.0,721.0,Ágata,6.039586333333334,9.000020000000001,7.916666666666666,6.25,3.5,6.000005,5.0,5.3125,2.0,Não,F,0,0.0,1,-1,-1,0.0,-1.0
124,ALUNO-181,9.0,166.0,Ametista,7.910768840791018,9.000020000000001,9.105915870621754,7.5,8.083333333333332,8.333335,5.0,6.5625,2.0,Não,M,0,0.0,1,1,1,1.0,-1.0
125,ALUNO-182,8.0,459.0,Ametista,7.093227724696356,9.50002,6.518218623481781,6.875,6.0,7.41666,10.0,4.6875,2.0,Não,M,0,0.0,-1,-1,-1,0.0,0.0
126,ALUNO-185,9.0,269.0,Ametista,7.617045315375983,8.500020000000001,8.243546576879911,8.125,8.8,7.41667,5.0,5.625,2.0,Não,M,0,1.0,1,1,-1,1.0,-1.0
127,ALUNO-191,11.0,587.0,Ágata,6.709725111111111,9.50002,8.722222222222221,5.0,6.5,6.388893333333333,5.0,4.375,3.0,Não,F,0,0.0,1,-1,-1,0.0,-1.0
128,ALUNO-192,13.0,581.0,Ágata,6.722024920634921,8.500020000000001,8.103174603174603,7.5,5.0,6.777773333333331,5.0,6.458333333333334,3.0,Não,F,0,0.0,1,-1,-1,0.0,-1.0
129,ALUNO-193,15.0,440.0,Ametista,7.174196928571429,8.75001,9.038690476190476,5.625,5.566666666666666,7.7499975,5.0,7.65625,4.0,Sim,F,0,6.0,1,-1,1,1.0,-1.0
130,ALUNO-195,13.0,570.0,Ágata,6.745479946323136,7.50002,8.046833064949007,7.5,4.833333333333333,7.722223333333334,5.0,6.25,3.0,Não,F,0,0.0,1,-1,1,0.0,-1.0
131,ALUNO-196,15.0,411.0,Ametista,7.254680434997751,9.16668,8.535551619433198,5.625,7.055555555555554,6.95833,5.0,7.65625,4.0,Sim,F,0,0.0,1,-1,-1,1.0,-2.0
132,ALUNO-197,14.0,53.0,Topázio,8.354717840548341,10.00002,8.751352813852813,5.625,7.688888888888889,8.458337499999999,10.0,8.125,4.0,Não,M,1,3.0,1,1,1,1.0,0.0
133,ALUNO-200,15.0,530.0,Ágata,6.874873274934217,7.91667,7.10179526355997,7.5,5.611111111111112,7.625,5.0,7.65625,4.0,Não,M,0,6.0,-1,-1,1,1.0,-1.0
134,ALUNO-201,16.0,653.0,Ágata,6.438413142857143,8.33334,6.047619047619048,7.5,4.033333333333333,7.944443333333334,5.0,7.5,4.0,Sim,M,0,3.0,-1,-1,1,1.0,-1.0
